gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,Churn
1,0,2,0,0.014084507,2,0,3,0,1,1
0,1,0,0,0.507042254,2,0,1,3,3,0
1,0,1,2,0.507042254,1,3,3,0,2,0
1,1,0,0,0.169014085,2,1,3,0,2,0
2,1,2,2,0.76056338,0,0,3,3,3,1
0,0,0,0,0.436619718,2,3,0,3,3,1
1,1,1,1,0.295774648,0,2,2,3,0,0
2,1,2,0,0.76056338,1,0,1,1,0,0
1,0,2,1,0.225352113,0,1,1,1,3,0
0,0,2,2,0.971830986,0,3,2,3,3,1
1,0,2,0,0.704225352,2,0,1,0,3,1
1,0,0,0,0.098591549,0,1,0,0,2,0
1,1,2,2,0.507042254,2,0,1,3,0,0
1,0,0,2,0.126760563,0,3,2,3,3,0
0,0,2,2,0.253521127,2,3,0,1,3,0
2,0,1,0,0.183098592,2,3,1,3,0,0
0,1,0,2,0.929577465,2,0,2,1,1,1
0,0,0,2,0.76056338,0,3,1,3,3,0
0,1,1,2,0.845070423,0,2,2,0,0,1
1,0,2,2,0.774647887,2,1,1,3,1,0
0,1,2,2,0.873239437,0,1,1,0,0,1
1,0,0,2,0.507042254,1,1,0,3,0,1
0,0,0,2,0.647887324,1,1,3,1,2,0
0,0,2,0,0.070422535,2,2,1,3,0,1
0,0,0,2,0.464788732,2,3,2,0,3,1
0,0,0,0,0.901408451,2,0,2,0,1,0
0,1,2,0,0.887323944,2,1,1,0,3,1
0,0,0,2,0.507042254,1,2,1,3,0,1
2,0,2,0,0.422535211,0,0,0,1,2,0
0,1,2,0,0.85915493,0,0,1,1,0,1
1,0,2,2,0.746478873,0,0,1,1,3,1
1,1,0,0,0.098591549,0,0,2,0,1,1
0,0,0,2,0.577464789,2,1,0,0,1,0
2,1,0,2,0.563380282,2,2,3,1,0,0
0,0,0,2,0.816901408,2,1,1,1,3,0
1,0,1,2,0.549295775,0,2,3,2,0,1
0,0,2,2,0.295774648,2,3,3,3,3,0
2,1,0,2,0.323943662,0,1,1,3,1,0
1,1,1,2,0.521126761,0,2,1,1,3,1
1,1,0,0,0.507042254,0,3,2,1,3,0
1,1,1,1,0.563380282,2,3,0,1,0,0
1,0,2,0,0.253521127,0,0,0,0,3,1
0,0,0,2,0.014084507,0,3,2,1,1,0
2,0,2,2,0.507042254,0,1,2,3,1,0
0,1,0,1,0.211267606,0,1,2,3,1,1
0,0,0,0,0.295774648,0,1,3,0,0,0
0,1,0,0,0.183098592,2,3,3,3,3,0
1,1,2,0,0.774647887,0,3,3,3,2,1
0,1,0,0,0.901408451,0,0,2,2,0,1
0,1,2,0,0.61971831,0,0,2,3,1,0
1,1,2,0,0.746478873,2,3,1,0,1,1
0,1,0,2,0.915492958,1,1,1,2,2,1
1,1,2,2,0.633802817,2,3,0,0,0,0
0,1,2,0,0.450704225,0,2,1,0,1,1
1,0,2,0,0.690140845,2,2,1,2,1,1
0,1,0,0,0.295774648,2,3,1,0,3,0
0,1,2,1,0.549295775,1,3,0,3,1,1
1,0,2,0,0.507042254,0,3,1,1,1,0
1,0,0,2,0.563380282,0,1,3,1,3,0
1,0,0,2,0.507042254,1,2,0,1,0,1
2,1,2,1,0.084507042,0,1,1,0,3,0
1,0,2,1,0.985915493,2,0,0,2,3,1
2,0,2,2,0.042253521,1,1,1,1,1,0
1,0,2,2,0.816901408,0,0,0,0,0,0
1,1,0,2,0.352112676,2,2,2,3,1,1
0,0,0,2,0.422535211,2,3,1,3,0,1
0,1,2,1,0.957746479,2,1,1,3,3,1
1,1,0,0,0.718309859,2,3,0,0,0,1
2,0,2,2,1,0,3,2,3,1,0
0,1,0,2,0.281690141,0,3,1,3,0,0
0,1,0,2,0.211267606,2,1,2,0,0,1
0,0,2,0,0.507042254,2,3,1,0,0,0
1,1,2,0,0.211267606,0,1,2,3,1,1
0,0,1,2,0.23943662,2,0,1,1,3,1
1,1,2,0,0.647887324,2,1,0,1,2,0
0,1,0,2,0.774647887,2,1,0,0,0,0
0,0,0,2,0.38028169,0,1,2,2,0,1
0,0,2,2,0.774647887,0,0,1,0,0,0
1,1,0,2,0.507042254,0,0,1,1,3,1
0,1,0,2,0.507042254,2,0,2,2,2,1
1,0,2,1,0.901408451,0,3,1,1,0,1
0,1,2,2,0.830985915,2,1,0,0,0,1
1,1,0,2,0.845070423,0,1,1,1,2,0
0,1,2,2,0.14084507,2,3,0,0,3,0
2,1,2,2,0.915492958,2,3,2,3,3,0
1,0,0,0,0.436619718,0,1,1,0,1,1
0,0,0,2,0.253521127,0,3,2,3,2,1
1,1,2,2,0.774647887,2,3,0,3,0,1
0,0,0,0,0.507042254,2,0,2,2,3,1
0,1,2,2,0.028169014,1,3,2,0,3,0
0,0,2,2,0.507042254,2,3,1,1,0,1
0,1,0,1,1,2,1,2,0,0,1
0,0,0,2,0.394366197,0,3,3,0,0,1
0,1,2,0,0.816901408,1,3,1,0,3,0
0,1,2,1,0.507042254,0,2,2,1,2,1
0,1,2,2,0.295774648,0,0,0,2,1,0
0,0,1,0,0.985915493,0,1,1,0,3,1
0,1,2,2,0.309859155,0,0,0,1,1,0
0,0,0,2,0.971830986,2,3,1,0,1,1
1,1,2,0,0.549295775,0,1,2,1,3,0
1,1,0,2,0.183098592,0,1,0,1,0,0
0,0,2,0,0.394366197,0,3,0,3,1,0
0,1,0,1,0.211267606,2,0,0,1,0,1
0,1,2,0,0.507042254,1,3,3,0,2,0
0,1,2,2,0.647887324,0,0,0,1,3,0
2,1,2,2,0.042253521,0,3,0,1,2,0
0,0,2,0,0.154929577,2,1,2,0,1,0
0,1,0,2,0.577464789,2,1,2,1,1,0
0,1,0,0,0.042253521,1,0,2,2,3,0
1,0,0,1,0.070422535,0,3,0,3,1,0
0,1,0,0,0.183098592,2,0,0,3,2,0
1,1,0,0,0.478873239,2,1,0,2,1,1
0,1,2,2,0.647887324,2,1,1,0,0,0
0,1,0,0,0.802816901,0,0,0,0,3,0
2,0,0,2,0.901408451,2,0,0,3,1,0
0,1,0,2,0.253521127,1,0,1,0,1,0
1,0,0,0,0.788732394,0,0,1,1,2,0
0,1,2,0,0.507042254,0,0,0,1,1,1
0,1,2,2,0.169014085,0,3,1,2,3,1
1,1,1,0,0.098591549,2,0,0,3,1,0
2,0,2,2,0.23943662,2,0,2,3,1,1
1,1,0,0,0.478873239,0,1,2,0,0,1
0,1,0,2,0.352112676,1,1,2,0,0,1
1,0,1,2,0.521126761,0,2,2,0,1,1
1,0,2,0,0.915492958,0,0,1,3,2,0
0,0,1,2,0.352112676,2,0,0,0,2,1
2,0,0,2,0.788732394,2,1,1,1,1,1
1,1,1,0,0.507042254,0,1,2,1,3,0
0,1,2,1,0.408450704,2,1,3,1,1,0
0,1,2,0,0.084507042,2,2,0,3,3,0
0,1,2,0,0.366197183,2,0,1,0,3,0
1,0,0,0,0.507042254,2,3,3,0,1,1
1,1,0,2,0.098591549,0,1,1,3,0,1
1,1,0,2,0.14084507,2,1,0,3,1,1
1,1,2,0,0.507042254,0,2,0,1,1,1
1,1,0,2,0.197183099,2,1,1,3,0,1
1,0,0,2,0.774647887,2,1,0,1,0,1
1,1,2,2,0.478873239,0,0,1,1,3,0
2,1,2,2,0.535211268,2,0,1,0,1,1
1,1,2,1,0.323943662,0,1,1,1,0,0
0,1,2,1,0.098591549,2,1,2,2,0,1
1,0,2,0,0.591549296,0,0,2,1,3,0
0,1,2,2,0.577464789,1,0,1,0,1,0
0,1,0,2,0.563380282,0,2,0,3,0,0
0,1,0,0,0.647887324,2,0,0,0,3,1
1,0,0,0,0.352112676,0,2,2,3,3,1
1,1,0,0,0.718309859,2,1,1,0,3,1
1,1,0,0,0.295774648,0,1,3,3,3,1
1,1,0,2,0.056338028,0,2,1,3,1,1
0,0,2,0,0.197183099,2,0,0,3,1,0
1,1,2,0,0.492957746,0,2,0,1,0,1
1,1,2,2,0.873239437,0,1,2,3,0,0
1,0,0,0,0.676056338,2,1,0,0,0,0
1,0,0,0,0.76056338,2,3,1,3,0,1
1,1,1,0,1,2,0,3,3,0,1
0,0,2,0,0.830985915,0,0,0,2,3,0
2,1,2,0,0.788732394,1,3,2,3,1,1
0,0,2,2,0.394366197,1,1,1,0,3,0
1,0,2,2,0.253521127,1,1,2,3,1,0
2,1,0,2,0.126760563,2,0,2,0,3,1
1,1,0,2,0.507042254,0,0,0,0,3,0
1,1,0,2,0.788732394,2,1,1,3,0,1
0,0,2,0,0.746478873,0,3,1,3,1,1
0,1,0,0,0.774647887,2,3,2,3,2,0
0,1,2,1,0.943661972,2,3,2,3,1,1
1,1,0,0,0.957746479,2,0,0,3,2,0
0,1,2,0,0.76056338,0,3,1,3,0,1
1,1,2,0,0.957746479,0,0,1,1,0,0
1,0,0,0,1,0,0,0,3,0,1
0,1,0,0,0,2,1,3,1,3,1
2,1,0,0,0.154929577,0,1,1,1,1,0
2,0,0,0,0.478873239,0,2,3,1,0,1
1,1,0,0,0.450704225,2,3,2,3,0,1
0,1,2,0,0.338028169,2,0,0,0,0,0
2,1,0,0,0.211267606,2,1,1,2,0,1
0,1,0,2,0.098591549,2,2,2,0,1,1
1,1,2,0,0.507042254,0,0,0,3,2,0
2,0,0,2,0.633802817,2,3,0,2,3,1
1,0,2,0,0.14084507,0,3,0,0,0,1
1,0,0,0,0.845070423,2,0,1,3,3,1
1,1,1,0,0.605633803,0,1,1,3,0,1
1,1,2,2,0.14084507,2,0,1,1,0,1
0,1,0,2,0.14084507,2,2,0,3,1,1
1,1,0,0,0.295774648,2,3,1,0,3,1
1,1,0,0,0.85915493,1,1,0,3,3,0
1,0,0,0,0.661971831,2,3,3,3,0,1
0,1,2,0,0.873239437,0,3,0,0,1,0
2,0,2,2,0.704225352,0,1,2,0,0,0
1,1,0,2,0.507042254,1,3,0,3,1,1
0,0,0,0,0.450704225,0,0,1,3,3,0
1,1,2,2,0.830985915,0,0,0,3,1,0
1,0,2,2,0.014084507,2,1,1,0,3,0
1,0,0,0,0.169014085,2,0,2,1,3,1
1,1,2,0,0.507042254,0,0,2,3,2,0
1,1,2,0,0.788732394,0,0,0,3,0,0
0,0,2,2,0.591549296,1,0,1,3,0,1
0,0,2,0,0.61971831,0,3,2,1,2,0
0,0,1,2,0.422535211,0,0,2,3,0,0
1,1,1,0,0.507042254,2,1,2,1,2,0
1,1,0,0,0.309859155,0,3,1,2,1,0
1,0,1,1,0.394366197,2,0,0,0,2,0
2,0,1,2,0.422535211,0,2,0,2,2,1
1,1,0,2,0.23943662,2,1,2,0,0,1
1,0,0,1,0.14084507,1,3,0,2,3,1
2,1,2,2,0.647887324,0,0,2,0,1,1
1,1,2,2,0.028169014,2,1,1,1,2,0
2,1,1,0,0.014084507,2,3,0,3,0,1
0,1,0,2,0.746478873,1,3,1,0,0,1
2,1,0,2,1,0,0,0,1,1,1
2,1,1,0,0.422535211,0,1,1,2,3,1
1,0,1,2,0.098591549,0,1,1,1,0,0
1,1,2,2,0.591549296,0,0,0,0,3,1
1,1,0,0,0.661971831,2,0,2,1,1,1
1,0,2,0,0.014084507,2,0,2,3,1,1
1,1,2,0,0.295774648,2,1,1,3,1,0
1,0,2,2,0.056338028,2,2,1,1,0,1
0,1,2,0,0.084507042,2,0,2,2,0,0
1,0,0,2,0.267605634,2,2,0,3,0,1
0,0,2,0,0.014084507,2,3,0,3,2,1
1,1,0,2,0.436619718,0,3,1,1,1,0
1,1,1,0,0.028169014,0,1,0,3,2,0
1,1,2,0,0.563380282,1,0,1,1,0,1
0,1,2,0,0.577464789,2,1,0,0,0,1
0,0,0,2,0.61971831,0,3,1,1,2,1
0,1,2,2,0.985915493,2,0,0,1,1,0
0,0,2,0,0.225352113,1,1,1,0,0,0
1,1,2,0,0.647887324,0,1,2,1,3,0
0,0,1,0,0.957746479,2,3,2,1,3,0
1,1,0,0,0.323943662,0,0,2,0,0,0
1,1,0,2,0.985915493,0,1,2,3,0,0
0,0,2,0,0.464788732,0,1,1,3,0,1
0,1,2,0,0.690140845,2,3,0,3,2,1
0,0,0,2,0.577464789,2,0,3,3,3,1
0,1,0,2,0.450704225,0,3,1,3,1,0
0,1,0,0,0.507042254,2,1,1,0,2,1
0,1,2,0,0.507042254,0,0,0,0,1,1
0,0,0,2,0.253521127,0,3,1,1,1,0
0,0,2,2,0.028169014,1,0,2,3,0,1
1,1,0,0,0.985915493,0,2,2,0,0,0
0,1,0,2,0.338028169,0,0,1,0,0,0
2,0,2,2,0.507042254,0,1,2,3,1,1
1,1,0,0,0.507042254,0,0,2,0,0,1
0,1,1,0,0.309859155,1,2,0,1,1,1
1,1,0,2,0.14084507,0,0,1,1,1,1
1,0,2,1,0.816901408,0,2,1,3,0,0
0,0,0,0,0.464788732,2,1,3,3,0,0
1,1,0,0,0.084507042,2,3,1,3,1,0
1,1,2,0,0.605633803,0,0,3,1,3,1
2,0,1,0,0.887323944,1,1,2,0,3,1
1,1,2,2,0.309859155,0,1,2,1,1,0
0,0,2,2,0.802816901,0,0,1,3,0,0
2,1,0,0,0.267605634,1,0,0,0,0,1
2,1,0,0,0.366197183,0,0,2,1,0,1
1,1,0,1,0.507042254,2,2,1,3,1,1
1,0,0,2,0.098591549,0,0,2,3,0,1
1,0,1,2,0.929577465,0,1,1,2,2,0
1,0,0,2,0.014084507,2,3,1,1,3,0
0,0,2,2,0.295774648,2,0,0,0,0,0
0,1,0,0,0.971830986,2,3,3,0,1,1
1,1,0,0,0.492957746,2,3,0,1,3,0
1,0,2,2,0.507042254,1,3,2,1,0,0
0,1,0,2,0.154929577,1,1,0,1,0,1
1,1,0,0,0.295774648,0,1,2,2,2,1
1,0,0,0,0.309859155,0,1,0,0,1,1
2,1,2,0,0.873239437,2,1,0,1,1,1
0,1,2,0,0.408450704,2,3,3,1,3,1
0,1,0,0,0.253521127,0,1,0,2,1,0
0,1,2,2,0.352112676,2,3,0,1,0,1
1,1,0,0,0.14084507,2,3,2,3,1,0
1,1,0,2,0.267605634,2,1,2,2,3,0
2,0,0,2,0.774647887,0,3,1,3,3,1
0,0,2,1,0.507042254,2,1,2,3,3,1
2,1,0,2,0.943661972,0,3,1,0,0,1
0,1,0,2,0.507042254,0,0,0,0,0,0
1,1,0,0,0.802816901,0,1,2,0,0,0
2,1,0,2,0.126760563,2,3,3,1,3,1
1,0,0,0,0.295774648,2,1,2,0,1,0
0,0,1,0,0.985915493,0,3,1,1,0,1
1,1,0,2,0.323943662,0,1,1,0,3,1
0,1,2,0,0.915492958,2,0,2,3,3,0
0,1,0,0,0.845070423,0,0,0,0,0,1
0,1,1,2,0.084507042,2,1,0,3,1,0
0,1,0,1,1,0,1,1,2,0,1
1,0,0,2,0.521126761,2,3,1,0,1,1
0,1,2,2,0.281690141,2,3,0,0,3,0
1,1,2,1,0.507042254,0,1,2,3,3,1
2,1,0,2,0.38028169,0,0,2,0,3,1
1,0,2,1,0.746478873,2,0,0,2,2,1
1,1,2,2,0.422535211,0,2,0,3,0,0
0,0,1,0,0.507042254,0,3,0,1,0,1
2,0,0,0,0.507042254,0,1,1,1,1,0
2,0,0,2,0.521126761,2,1,0,3,0,1
1,0,0,2,0.704225352,0,0,3,1,1,1
0,0,0,0,0.507042254,0,2,0,0,0,0
0,1,2,0,0.422535211,1,3,0,1,0,0
0,1,0,2,0.85915493,0,3,2,0,1,0
0,0,2,0,0.23943662,1,1,2,3,0,1
1,1,0,0,0.070422535,0,1,0,0,3,1
2,0,0,2,0.112676056,2,1,1,1,3,1
0,1,2,2,0.14084507,2,2,1,0,1,1
1,1,0,0,0.014084507,0,0,2,1,0,0
1,0,2,2,0.394366197,0,3,1,0,1,0
1,1,2,2,0.704225352,2,3,1,3,1,1
0,1,2,1,0.957746479,0,3,2,3,0,0
2,0,0,2,0.309859155,0,3,3,0,3,0
2,0,1,2,0.084507042,2,0,0,3,3,1
0,1,0,0,0.774647887,0,1,3,0,0,0
0,1,0,2,0.85915493,1,3,0,1,3,0
0,1,1,0,0.197183099,0,3,3,0,1,0
0,0,0,2,0.732394366,2,1,2,1,2,1
0,0,2,2,0.591549296,0,0,2,2,1,0
1,0,1,1,0.478873239,2,0,2,1,3,1
0,1,0,2,0.183098592,2,3,1,3,0,1
1,1,0,2,0.957746479,2,2,2,0,0,1
1,0,1,2,0.676056338,0,3,2,3,1,0
0,1,2,2,0.23943662,0,2,2,3,1,0
1,0,1,2,0.704225352,2,2,2,1,1,0
1,1,1,2,0,2,1,0,3,3,0
1,1,2,0,0.366197183,0,0,2,1,2,0
0,1,2,2,0.887323944,0,0,2,3,0,0
0,1,0,2,0.507042254,1,1,1,3,3,0
1,0,2,0,0.563380282,0,1,1,0,0,0
0,0,2,0,0.281690141,1,0,0,0,1,0
0,0,0,0,0.183098592,2,3,2,1,0,0
0,0,0,2,0.267605634,0,0,3,3,0,0
0,1,2,0,0.14084507,0,3,2,3,3,1
1,1,0,0,0.915492958,0,1,1,0,2,0
2,0,0,2,0.323943662,2,3,0,1,1,0
0,0,2,1,0.507042254,0,1,1,0,3,1
0,0,0,2,0.323943662,0,3,3,3,3,1
2,0,2,2,0.197183099,2,3,1,1,2,0
1,0,2,2,0.154929577,2,1,2,3,1,0
0,1,0,2,0.887323944,0,3,2,0,0,1
1,1,2,2,0.422535211,0,0,2,1,2,0
0,0,2,0,0.732394366,2,3,0,0,1,1
0,0,0,2,1,2,2,1,3,1,1
1,1,0,0,0.605633803,0,1,2,2,1,1
1,1,0,2,0.408450704,0,3,2,0,0,1
2,0,0,0,0.478873239,2,3,0,2,2,0
0,0,2,2,0.281690141,0,0,0,0,0,1
1,1,0,2,0.873239437,2,0,2,0,3,1
0,1,0,1,0.225352113,2,1,2,1,3,0
